title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Dendritic Resonate-and-Fire Neuron for Effective and Efficient Long Sequence Modeling (D-RF)",2025,"NeurIPS 2025",https://arxiv.org/abs/2509.17186,pure method,4,4,4,A,"Closest competitor in RF family: multi-dendrite RF with frequency-selective filters + dynamic soma threshold; SPRiF differentiates on functional decomposition (oscillation in never-reset slow state) vs D-RF's frequency decomposition (oscillation in reset-affected dendrites)","NeurIPS peer-reviewed; strong experimental coverage on long sequences; code availability to be verified"
"Revisiting Reset Mechanisms in SNNs for Sequential Modeling: Specialized Discretization for Binary Activated RNN",2025,"arXiv (Apr 2025)",https://arxiv.org/abs/2504.17751,pure method,4,3,3,A,"Questions whether reset is strictly necessary for sparse spiking; proposes fixed-refractory-period architecture; philosophical contrast with SPRiF's redesign-reset approach","Preprint only; single author; strong theoretical insight but limited experimental scope; already cited by subsequent work"
"Local Timescale Gates for Timescale-Robust Continual Spiking Neural Networks (LT-Gate)",2025,"arXiv (Oct 2025)",https://arxiv.org/abs/2510.12843,pure method,4,3,4,A,"Dual time-constant dynamics (fast/slow parallel leaky integrators) with learnable blending gate per neuron; closest functional analog to SPRiF slow/fast but without spectral structure or projective reset","Preprint; strong continual learning results; must distinguish on functional decomposition vs rate decomposition"
"AR-LIF: Adaptive Reset Leaky Integrate-and-Fire Neuron for Spiking Neural Networks",2025,"arXiv (Jul 2025)",https://arxiv.org/abs/2507.20746,pure method,3,3,4,B,"Adaptive reset connecting stimulus/response/reset dynamically; argues hard reset loses information and soft reset treats all neurons uniformly; validates SPRiF's directional reset innovation","Preprint; strong experimental results on Tiny-ImageNet and CIFAR10-DVS; single-neuron adaptive reset vs SPRiF's structural decomposition"
"Incorporating the Refractory Period into SNNs through Spike-Triggered Threshold Dynamics (RPLIF)",2025,"ACM MM 2025",https://arxiv.org/abs/2509.17769,pure method,3,4,4,B,"Models refractory period via dynamic threshold elevation post-spike instead of membrane reset; alternative approach to post-spike dynamics","ACM MM peer-reviewed; SOTA on Cifar10-DVS (82.40%) and N-Caltech101 (83.35%); complementary approach to SPRiF's reset redesign"
"Recurrent Spiking Neural Networks with Bimodal Neuronal Time Scales for Learning Performance Enhancement",2026,"Neural Networks",https://www.sciencedirect.com/science/article/abs/pii/S0893608026002923,pure method,4,4,4,A,"First bimodal-timescale architecture for spiking RNNs; explicitly designs two distinct timescales; strong comparison target for SPRiF's slow/fast claim","Journal peer-reviewed; strong experimental validation; must distinguish bimodal rate decomposition vs functional role decomposition"
"HetSyn: Versatile Timescale Integration in Spiking Neural Networks via Heterogeneous Synapses",2025,"NeurIPS 2025",https://neurips.cc/virtual/2025/poster/117410,pure method,4,4,4,A,"Moves timescale computation from neuron membrane to individual synapses; per-synapse decay rates; learned parameters match biological observations; strong multi-timescale baseline","NeurIPS peer-reviewed; innovative synaptic-level timescale approach; robustness and memory retention validated; different abstraction level from SPRiF"
"Multi-Timescale Conductance Spiking Networks: A Sparse Gradient-Trainable Framework (MTC)",2026,"IEEE NICE 2026",https://arxiv.org/abs/2605.11835,pure method,4,3,4,B,"Fast/slow/ultra-slow conductance channels with direct BPTT; produces tonic/phasic/bursting responses; conductance-based biological approach vs SPRiF's spectral approach; outperforms AdLIF on Mackey-Glass","IEEE NICE peer-reviewed; biologically grounded multi-timescale; direct BPTT without surrogate gradients; different modeling philosophy from SPRiF"
"CLIF: Complementary Leaky Integrate-and-Fire Neuron for Spiking Neural Networks",2024,"ICML 2024",https://proceedings.mlr.press/v235/huang24n.html,pure method,3,4,4,B,"Adds complementary gradient pathways for temporal gradient flow; addresses gradient vanishing rather than temporal dynamics; no extra hyperparameters","ICML peer-reviewed; clean method; useful background for information-flow perspective; no direct competition with SPRiF"
"SPLR: A Spiking Neural Network for Long-Range Temporal Dependencies",2024,"NeurIPS 2024",https://openreview.net/forum?id=2Ez4dhU3NG,pure method,4,4,4,B,"Spike-Aware HiPPO + dendrite-inspired components for long-range dependencies; network-level architecture innovation; SSM-adjacent via HiPPO","NeurIPS peer-reviewed; strong long-range results; cite for context but different from SPRiF's neuron-level innovation"
