title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Structured State Space Model Dynamics and Parametrization for Spiking Neural Networks (SiLIF)",2025,"arXiv (Jun 2025)",https://arxiv.org/abs/2506.06374,pure method,4,3,4,Risk,"Closest competitor: SSM-inspired complex-state oscillatory spiking neuron; SPRiF must differentiate on slow/fast functional decomposition","Strong insight; preprint only — lacks peer review; code available on GitHub"
"Balanced Resonate-and-Fire Neurons (BRF)",2024,"ICML 2024",https://arxiv.org/abs/2402.14603,pure method,4,4,4,A,"Single-state oscillatory neuron; no slow/fast split; important to cite and distinguish","ICML peer-reviewed; strong experimental coverage; open-source code"
"PRF: Parallel Resonate and Fire Neuron for Long Sequence Learning in SNNs",2024,"arXiv (Oct 2024)",https://arxiv.org/abs/2410.03530,pure method,4,3,4,A,"Complex-domain oscillatory neuron; decoupled reset is computational not functional","Strong parallelization contribution; ICLR 2025 submission; solid experimental benchmarks"
"Advancing Spatio-Temporal Processing in SNNs through Adaptation (AdLIF)",2025,"Nature Communications",https://arxiv.org/abs/2408.07517,pure method,3,5,5,A,"Adaptation mechanism; SOTA on event-based benchmarks; adaptation variable is not temporal memory","Nature Comms = high credibility; thorough experimental validation; must-use baseline"
"SpikingSSMs: Learning Long Sequences with Sparse and Parallel Spiking State Space Models",2025,"AAAI 2025",https://arxiv.org/abs/2408.14909,pure method,4,4,4,A,"Dendritic hierarchy + SSM; operates at network level not neuron level","AAAI peer-reviewed; strong LRA results; 90% sparsity"
"FLAMES: A Hybrid Spiking-State Space Model for Adaptive Memory Retention",2025,"arXiv (Apr 2025)",https://arxiv.org/abs/2504.01257,pure method,4,3,3,B,"Spike-Aware HiPPO for rate-adaptive memory; not structural slow/fast separation","Novel memory adaptation mechanism; preprint; good LRA benchmarks"
"Understanding the Functional Roles of Modelling Components in Spiking Neural Networks",2024,"Neuromorphic Computing and Engineering",https://arxiv.org/abs/2403.16674,empirical finding,3,4,4,B,"Systematic ablation of LIF components; confirms reset is essential; useful background","Journal publication; strong ablation methodology; limited to LIF analysis"
"Efficient Online Learning for Networks of Two-Compartment Spiking Neurons (TC-LIF)",2024,"IJCNN 2024",https://arxiv.org/abs/2402.15969,pure method,3,3,3,B,"Spatial compartmentalization (dendrite/soma); not functional separation","IJCNN = mid-tier; online learning focus; two-compartment concept partially overlaps"
"DA-LIF: Dual Adaptive Leaky Integrate-and-Fire Model for Deep SNNs",2025,"IEEE (2025)",https://ieeexplore.ieee.org/document/10888909,pure method,3,3,3,B,"Dual spatial + temporal adaptation; adaptation is not state decomposition","IEEE publication; dual adaptation is incremental over AdLIF"
"Parallel Spiking Neurons with High Efficiency and Ability to Learn Long-term Dependencies (PSN)",2023,"NeurIPS 2023",https://openreview.net/forum?id=4q5ZYP0ynu,pure method,4,4,4,B,"Eliminates reset for parallelization; validates interest in reset redesign","NeurIPS = top venue; clean method; opposite philosophy to SPRiF"
"Unleashing Temporal Capacity of SNNs through Spatiotemporal Separation (STSep)",2025,"arXiv (Dec 2025)",https://arxiv.org/abs/2512.05472,pure method,3,3,4,C,"Network-level spatial/temporal decoupling; not neuron-level","Good video benchmark results; different level of abstraction from SPRiF"
"CRIMF: Channelwise Regional Integrate and Multiple Firing Neuron",2024,"IEEE (2024)",https://ieeexplore.ieee.org/document/11159293,pure method,3,3,3,C,"Adds regional current state; motivation overlaps but mechanism differs","IEEE publication; focuses on gradient/heterogeneity issues"
